Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,,no,no,NA,NA
Clobazam,CLOBAZAM,CLOBAZAM,,CLINICAL PHARMACOLOGY,no, not prolong the QTc interval ,NA
Etodolac,ETODOLAC,ETODOLAC,Heart Damage,bw,most,myocardial infarction,severe
Clomipramine Hydrochloride,CLOMIPRAMINE HYDROCHLORIDE CAPSULES,CLOMIPRAMINE HYDROCHLORIDE,Arrhythmia,wp,less,modest tachycardia,mild
Pyrazinamide,PYRAZINAMIDE,PYRAZINAMIDE,,no,no,NA,NA
Zolmitriptan,ZOLMITRIPTAN,ZOLMITRIPTAN,Mixed,wp,most,acute myocardial infarction/Arrhythmias,severe
Alosetron Hydrochloride,ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE,Mixed,ar,less,Tachyarrhythmias/increased blood pressure ,mild
Deferiprone,DEFERIPRONE,DEFERIPRONE,Mixed,ar,less,cardiac failure/atrial fibrillation,severe
Sodium Iodide I-131,SODIUM IODIDE I-131,SODIUM IODIDE I-131,Mixed,ar,less,chest pain/tachycardia,mild
SODIUM IODIDE I 123,SODIUM IODIDE I 123,SODIUM IODIDE I-123,,no,no,NA,NA
Demeclocycline Hydrochloride,DEMECLOCYCLINE HYDROCHLORIDE,DEMECLOCYCLINE HYDROCHLORIDE,,sp,ambiguous,pericarditis(Hypersensitivity reactions),severe
Cefadroxil,CEFADROXIL,CEFADROXIL,,no,no,NA,NA
Nefazodone Hydrochloride,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE,Heart Damage,wp,less,decrease in blood pressure,mild
spironolactone,SPIRONOLACTONE,SPIRONOLACTONE,Heart Damage,wp,less,hypotension,mild
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,Mixed,wp,most,Myocardial infarction/sinus tachycardia,severe
Trimipramine Maleate,TRIMIPRAMINE MALEATE,TRIMIPRAMINE MALEATE,Mixed,ar,less, myocardial infarction/arrhythmias,severe
Niacor,NIACIN,niacin,Mixed,ar,less,Atrial fibrillation/hypotension ,mild
toremifene citrate,TOREMIFENE CITRATE,TOREMIFENE CITRATE,Arrhythmia,bw,most,QT PROLONGATION,moderate
METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,Mixed,bw,most,QT interval prolongation/Hypotension,moderate
Tolvaptan,TOLVAPTAN,TOLVAPTAN,Mixed,ar,less,Intracardiac thrombus/ventricular fibrillation,severe
Carisoprodol,CARISOPRODOL,CARISOPRODOL,Mixed,ar,less,Tachycardia/postural hypotension,mild
ziprasidone hydrochloride,ZIPRASIDONE HCL,ZIPRASIDONE HYDROCHLORIDE,Mixed,wp,most,QT Prolongation/Hypotension,moderate
Buspirone Hydrochloride,BUSPIRONE HYDROCHLORIDE,BUSPIRONE HYDROCHLORIDE,Mixed,ar,less,tachycardia/cardiomyopathy,mild
DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,Mixed,ar,less,myocardial infarction/arrhythmias,severe
Balsalazide Disodium,BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,Heart Damage,ar,less,myocarditis,severe
Rifabutin,RIFABUTIN,RIFABUTIN,Arrhythmia,ar,less,non-specific T wave changes on electrocardiogram,mild
Trandolapril,TRANDOLAPRIL,TRANDOLAPRIL,Heart Damage,wp,less,hypotension,mild
Metaxalone,METAXALONE,METAXALONE,,no,no,NA,NA
APREPITANT,APREPITANT,APREPITANT,Arrhythmia,ar,less,palpitations,mild
CINACALCET,CINACALCET,CINACALCET HYDROCHLORIDE,Arrhythmia,wp,most,QT prolongation,moderate
Triazolam,TRIAZOLAM,TRIAZOLAM,,no,no,NA,NA
Pimozide,PIMOZIDE,PIMOZIDE,Arrhythmia,ar,less,Electrocardiographic changes,moderate
Labetalol Hydrochloride,LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE,Heart Damage,wp,most,congestive heart failure,severe
TROSPIUM CHLORIDE,TROSPIUM CHLORIDE,TROSPIUM CHLORIDE,Mixed,ar,less,supraventricular tachycardia/chest pain,moderate
Molindone Hydrochloride,MOLINDONE HYDROCHLORIDE,MOLINDONE HYDROCHLORIDE,Mixed,ar,less, T wave changes /hypotension,mild
Clomiphene Citrate,CLOMIPHENE CITRATE,CLOMIPHENE CITRATE,Mixed,ar,less,Arrhythmia/ chest pain,severe
Doxycycline Hyclate,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,,sp,ambiguous,?? Intracranial hypertension,NA
DIETHYLPROPION HYDROCHLORIDE ER,DIETHYLPROPION HYDROCHLORIDE ER,DIETHYLPROPION HYDROCHLORIDE,Heart Damage,wp,most,Valvular heart disease,severe
Perindopril Erbumine,PERINDOPRIL ERBUMINE,PERINDOPRIL ERBUMINE,Heart Damage,wp,less,hypotension,mild
Clemastine Fumarate,CLEMASTINE FUMARATE,CLEMASTINE FUMARATE,Mixed,ar,less,tachycardia/Hypotension,mild
SULINDAC,SULINDAC,SULINDAC,Heart Damage,bw,most,myocardial infarction ,severe
Dexmethylphenidate Hydrochloride,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE HYDROCHLORIDE,Mixed,wp,most,myocardial infarction/Heart Rate Increases,severe
Penicillin V Potassium,PENICILLIN V POTASSIUM,PENICILLIN V POTASSIUM,,sp,ambiguous,not be relied upon in patients with cardiospasm ,NA
Metronidazole,METRONIDAZOLE,METRONIDAZOLE,,sp,ambiguous,QT prolongation with drug interactions,moderate
Piroxicam,PIROXICAM,PIROXICAM,Heart Damage,bw,most, myocardial infarction,severe
Primidone,PRIMIDONE,PRIMIDONE,,no,no,NA,NA
Methocarbamol,METHOCARBAMOL,METHOCARBAMOL,Mixed,ar,less,Bradycardia/Hypotension,mild
Tamsulosin hydrochloride,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,,sp,ambiguous,postural hypotension,mild
Naratriptan,NARATRIPTAN,NARATRIPTAN HYDROCHLORIDE,Mixed,wp,most, acute myocardial infarction/ventricular tachycardia,severe
Febuxostat,FEBUXOSTAT,FEBUXOSTAT,,sp,ambiguous,CV death patients with a history of CV disease,severe
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,Mixed,ar,less,arrhythmia/Hypotension,mild
Miglitol,MIGLITOL,MIGLITOL,,no,no,NA,NA
SULFADIAZINE,SULFADIAZINE,SULFADIAZINE,,sp,ambiguous,allergic myocarditis(Allergic Reactions),severe
Lansoprazole,LANSOPRAZOLE,LANSOPRAZOLE,Mixed,ar,less,arrhythmia/myocardial infarction,severe
CARVEDILOL,CARVEDILOL,CARVEDILOL,Mixed,wp,most,worsening heart failure/Bradycardia,severe
Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,,sp,ambiguous,"cardiac valvular disease combination of phentermine with fenfluramine or
dexfenfluramine",severe
Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,Heart Damage,ar,less,Hypotension,mild
Theophylline (Anhydrous),THEOPHYLLINE,THEOPHYLLINE ANHYDROUS,Arrhythmia,ar,less,cardiac arrhythmias,mild
Topiramate,TOPIRAMATE,TOPIRAMATE,,sp,ambiguous,cardiac arrhythmias,mild
Chenodal,CHENODIOL,CHENODIOL,,no,no,NA,NA
Misoprostol,MISOPROSTOL,MISOPROSTOL,Mixed,ar,less,arrhythmia/myocardial infarction (some fatal),severe
Citalopram,CITALOPRAM,CITALOPRAM,Mixed,ar,less,bradycardia/angina pectoris,moderate
etravirine,ETRAVIRINE,ETRAVIRINE,Mixed,ar,less,myocardial infarction/atrial fibrillation,severe
Clopidogrel,CLOPIDOGREL,CLOPIDOGREL BISULFATE,Heart Damage,ar,less,hypotension,mild
Neomycin Sulfate,NEOMYCIN SULFATE,NEOMYCIN SULFATE,,no,no,NA,NA
Levorphanol Tartrate,LEVORPHANOL TARTRATE,LEVORPHANOL TARTRATE,Heart Damage,wp,less,hypotension ,mild
Tinidazole,TINIDAZOLE,TINIDAZOLE,Arrhythmia,ar,less,palpitations,mild
TOLMETIN SODIUM,TOLMETIN SODIUM,TOLMETIN SODIUM,Heart Damage,bw,most," myocardial 
infarction (MI) ",severe
Terbinafine,TERBINAFINE HYDROCHLORIDE,TERBINAFINE HYDROCHLORIDE,,sp,ambiguous,hypersensitivity reactions:myocarditis,NA
Nortriptyline Hydrochloride,NORTRIPTYLINE HYDROCHLORIDE,NORTRIPTYLINE HYDROCHLORIDE,Arrhythmia,wp,most,Brugada syndrom,severe
Minocycline hydrochloride,MINOCYCLINE HYDROCHLORIDE,MINOCYCLINE HYDROCHLORIDE,,sp,ambiguous,"myocarditis, pericarditis(Hypersensitivity Reactions)",severe
molnupiravir,MOLNUPIRAVIR,MOLNUPIRAVIR,,no,no,NA,NA
Seconal Sodium,SECOBARBITAL SODIUM,secobarbital sodium,Mixed,ar,less,Bradycardia/hypotension,mild
ISMOTIC,ISOSORBIDE,isosorbide,,no,no,NA,NA
SOTALOL,SOTALOL,sotalol,Mixed,wp,most,torsade de pointes/Conges tive Heart Failure,moderate
Maxaquin,LOMEFLOXACIN HYDROCHLORIDE,lomefloxacin hydrochloride,Arrhythmia,wp,most,torsade de pointes,moderate
TOLAZAMIDE,TOLAZAMIDE,tolazamide,,sp,ambiguous,similarities chemical:cardiovascular mortality,NA
Terramycin,OXYTETRACYCLINE HYDROCHLORIDE,Oxytetracycline Hydrochloride,,sp,ambiguous,pericarditis(Hypersensitivity reactions),severe
Renese,POLYTHIAZIDE,polythiazide,Heart Damage,ar,less,hypotension ,mild
PERMAX,PERGOLIDE,pergolide,Heart Damage,bw,most,valve replacement,severe
VITRAKVI,LAROTRECTINIB,LAROTRECTINIB,,CLINICAL PHARMACOLOGY,no, does not prolong QTc intervals,NA
SODIUM POLYSTYRENE SULFONATE,SODIUM POLYSTYRENE SULFONATE,SODIUM POLYSTYRENE SULFONATE,Arrhythmia,wp,most, lengthened Q-T interval,moderate
Relistor,METHYLNALTREXONE BROMIDE,METHYLNALTREXONE BROMIDE,Mixed,ar,less,cardiac arrest/myocardial infarctions,severe
Eszopiclone,ESZOPICLONE,ESZOPICLONE,Heart Damage,ar,less,hypertension,mild
VASOPRESSIN,VASOPRESSIN,VASOPRESSIN,Mixed,wp,less,decrease in cardiac index ,mild
Naloxone Hydrochloride,NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,Mixed,ar,less,cardiac arrest or failure,severe
PHYTONADIONE,PHYTONADIONE,PHYTONADIONE,Mixed,ar,less," Tachycardia, hypotension",severe
Dehydrated Alcohol,ALCOHOL,ALCOHOL,Mixed,wp,most,heart failure/Ventricular Arrhythmia,severe
Compro,PROCHLORPERAZINE,PROCHLORPERAZINE,Arrhythmia,ar,less,hypotension / cardiac arrest,severe
Cetrotide,CETRORELIX ACETATE,CETRORELIX ACETATE,,sp,ambiguous,hypersensitivity reactions:hypotension,mild
LEQVIO,INCLISIRAN,INCLISIRAN SODIUM,,CLINICAL PHARMACOLOGY,no,does not prolong the QT,NA
Empaveli,PEGCETACOPLAN,Pegcetacoplan,Heart Damage,ar,less,hypertension,mild
FIRMAGON,DEGARELIX,DEGARELIX,Arrhythmia,wp,most, prolong the QT interval,moderate
Mozobil,PLERIXAFOR,PLERIXAFOR,,sp,ambiguous,hypersensitivity reactionshypotension,mild
OXLUMO,LUMASIRAN,LUMASIRAN,,no,no,NA,NA
Vantas,HISTRELIN ACETATE,HISTRELIN ACETATE,Mixed,wp,most,sudden cardiac death/prolong QT/QTc Interval,severe
Vyleesi,BREMELANOTIDE,bremelanotide acetate,Mixed,wp,less,Increase in Blood Pressure/ Reduction in Heart Rate,mild
Imcivree,SETMELANOTIDE,SETMELANOTIDE,,no,no,NA,NA
Lanreotide Acetate,LANREOTIDE ACETATE,LANREOTIDE ACETATE,Mixed,wp,less,sinus bradycardia/hypertension,mild
Tymlos,ABALOPARATIDE,ABALOPARATIDE,Mixed,wp,less,hypotension/tachycardia,mild
Zegalogue,DASIGLUCAGON,DASIGLUCAGON,Mixed,ar,less,bradycardia/hypertension,mild
Byetta,EXENATIDE,exenatide,,no,no,NA,NA
Tegsedi,INOTERSEN,INOTERSEN SODIUM,Arrhythmia,ar,less,Arrhythmia,mild
Saxenda,LIRAGLUTIDE,LIRAGLUTIDE,Arrhythmia,wp,less,Heart Rate Increase,mild
XYOSTED,TESTOSTERONE ENANTHATE,TESTOSTERONE ENANTHATE,Heart Damage,bw,most,cardiovascular death,severe
VOXZOGO 0.4mg; VOXZOGO 0.56mg; VOXZOGO 1.2mg,VOSORITIDE,VOSORITIDE,Heart Damage,wp,less,decreases in blood pressure,mild
SymlinPen,PRAMLINTIDE ACETATE,pramlintide acetate,,no,no,NA,NA
ZOLADEX,GOSERELIN,goserelin acetate,Mixed,wp,most,sudden cardiac death/prolong QT/QTc Interval,severe
SYNRIBO,OMACETAXINE MEPESUCCINATE,OMACETAXINE MEPESUCCINATE,Mixed,ar,less,angina pectoris/arrhythmia,severe
GIVLAARI,GIVOSIRAN SODIUM,givosiran sodium,,CLINICAL PHARMACOLOGY,no,No large mean increase in QTc ,NA
Copaxone,GLATIRAMER ACETATE,GLATIRAMER ACETATE,Mixed,ar,less,Tachycardia/Hypertension,mild
WEGOVY,SEMAGLUTIDE,SEMAGLUTIDE,Arrhythmia,wp,less,Heart Rate Increase,mild
Nexplanon,ETONOGESTREL,etonogestrel,Heart Damage,wp,most,myocardial infarctions,severe
FUZEON,ENFUVIRTIDE,Enfuvirtide,Heart Damage,ar,less,unstable angina pectoris,moderate
Kynamro,MIPOMERSEN SODIUM,MIPOMERSEN SODIUM,,no,no,NA,NA
Fragmin,DALTEPARIN SODIUM,DALTEPARIN SODIUM,,no,no,NA,NA
Forteo,TERIPARATIDE,Teriparatide,Heart Damage,wp,less,hypotension,mild
KYBELLA,DEOXYCHOLIC ACID,DEOXYCHOLIC ACID,Heart Damage,ar,less,Hypertension,mild
Fondaparinux Sodium,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,,no,no,NA,NA
Terbutaline Sulfate,TERBUTALINE SULFATE,terbutaline sulfate,Mixed,bw,most,myocardial ischemia/cardiac arrhythmias,severe
Fyremadel,GANIRELIX ACETATE,ganirelix acetate,,no,no,NA,NA
MEPIVACAINE HYDROCHLORIDE,MEPIVACAINE HYDROCHLORIDE,Mepivacaine Hydrochloride,,sp,ambiguous,"used with extreme caution for patients with heart block,",NA
Isosulfan Blue,ISOSULFAN BLUE,ISOSULFAN BLUE,,no,no,NA,NA
ICATIBANT,ICATIBANT,ICATIBANT ACETATE,,no,no,NA,NA
Innohep,TINZAPARIN SODIUM,tinzaparin sodium,Heart Damage,ar,less,"hypotension, hypertension",mild
KYNMOBI,APOMORPHINE HYDROCHLORIDE,apomorphine hydrochloride,Mixed,wp,most,QT Prolongation/Hypotension,moderate
Dsuvia,SUFENTANIL,SUFENTANIL,Mixed,wp,less,hypotension/bradycardia,mild
nitroglycerin,NITROGLYCERIN,NITROGLYCERIN,Heart Damage,wp,most,angina pectoris,moderate
Asenapine,ASENAPINE MALEATE,ASENAPINE MALEATE,Mixed,wp,most,QT Prolongation/Hypotension,moderate
Buprenorphine,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Citanest Plain,PRILOCAINE HYDROCHLORIDE,PRILOCAINE HYDROCHLORIDE,Mixed,ar,less,bradycardia/hypotension,mild
